tconst	averageRating	numVotes
tt0000001	5.7	1927
tt0000002	5.8	261
tt0000003	6.5	1743
tt0000004	5.6	176
tt0000005	6.2	2555
tt0000006	5.1	175
tt0000007	5.4	797
tt0000008	5.4	2071
tt0000009	5.3	200
tt0000010	6.9	6998
tt0000011	5.3	357
tt0000012	7.4	12005
tt0000013	5.7	1851
tt0000014	7.1	5384
tt0000015	6.2	1035
tt0000016	5.9	1461
tt0000017	4.6	318
tt0000018	5.3	583
tt0000019	5.1	31
tt0000020	4.8	352
tt0000022	5.1	1072
tt0000023	5.7	1401
tt0000024	4.2	104
tt0000025	3.9	45
tt0000026	5.7	1510
tt0000027	5.6	1128
tt0000028	5.1	1047
tt0000029	5.9	3295
tt0000030	5.2	832
tt0000031	5.5	987
tt0000032	5.0	410
tt0000033	5.5	1007
tt0000034	5.0	198
tt0000035	5.5	79
tt0000036	4.4	596
tt0000037	4.4	66
tt0044243	7.0	30
tt0000038	4.2	198
tt0000039	3.3	30
tt0000040	4.1	64
tt0000041	6.8	1793
tt0000042	4.1	37
tt0000043	3.2	32
tt0000044	3.9	45
tt0000045	3.9	33
tt0000046	4.1	34
tt0000047	3.3	34
tt0000048	4.8	192
tt0000049	5.0	49
tt0000050	4.0	34
tt0000051	3.5	35
tt0000052	4.3	99
tt0000053	3.1	18
tt0000054	4.9	34
tt0000055	3.5	30
tt0000056	2.8	22
tt0000057	4.4	34
tt0000058	4.2	33
tt0000059	3.2	27
tt0000060	7.6	87
tt0000061	3.9	24
tt0000062	6.4	195
tt0000063	3.2	28
tt0000064	2.8	29
tt0000065	3.1	29
tt0000066	3.0	29
tt0000067	5.6	62
tt0000068	3.6	31
tt0000069	4.9	444
tt0000070	6.4	2596
tt0000071	3.2	29
tt0000072	3.4	27
tt0000073	3.3	30
tt0000074	4.5	31
tt0000075	6.3	1891
tt0000076	4.5	527
tt0000077	4.4	35
tt0000078	3.7	79
tt0000079	4.3	35
tt0000080	3.9	31
tt0000081	4.0	32
tt0000082	4.8	49
tt0000083	4.6	32
tt0000084	4.3	30
tt0000085	4.7	33
tt0000086	4.0	33
tt0000087	4.7	37
tt0000088	4.2	32
tt0000089	6.2	986
tt0000090	3.8	31
tt0000091	6.7	3560
tt0000092	4.5	29
tt0000093	4.7	93
tt0000094	4.4	32
tt0000095	4.8	34
tt0000096	4.3	29
tt0000097	4.9	33
tt0000098	5.2	36
tt0000099	4.6	32
tt0000100	4.8	53
tt0000101	4.5	28
tt0000102	4.6	26
tt0000103	5.4	27
tt0000104	5.6	458
tt0000105	5.0	29
tt0000106	4.4	23
tt0000107	5.2	28
tt0000108	4.4	537
tt0000109	4.5	521
tt0000110	4.4	523
tt0000111	4.4	539
tt0000112	4.5	517
tt0000113	4.3	544
tt0000114	5.1	30
tt0000115	4.9	34
tt0000116	5.2	27
tt0000117	5.1	163
tt0000118	5.2	28
tt0000119	5.3	54
tt0000120	5.3	51
tt0000121	4.2	84
tt0000122	5.1	31
tt0000123	5.7	137
tt0000124	5.2	30
tt0000125	4.5	15
tt0000126	5.8	31
tt0000127	4.4	26
tt0000128	5.8	38
tt0000129	6.6	51
tt0000130	5.1	28
tt0000131	5.8	1371
tt0000132	5.1	1043
tt0000133	6.3	35
tt0000134	4.8	20
tt0000135	6.5	83
tt0000137	4.5	30
tt0000138	6.5	1112
tt0000139	5.3	24
tt0000140	4.9	292
tt0000141	5.1	97
tt0000142	4.5	28
tt0000143	4.9	258
tt0000144	5.1	308
tt0000145	3.2	13
tt0000146	5.0	26
tt0000147	5.2	460
tt0000148	3.0	14
tt0000149	4.6	21
tt0000150	5.3	164
tt0000151	4.8	61
tt0000152	6.2	251
tt0000153	5.7	446
tt0000154	3.7	13
tt0000155	5.2	28
tt0000156	3.8	23
tt0000157	3.7	15
tt0000158	2.8	15
tt0000159	5.2	126
tt0000160	5.3	26
tt0000161	3.3	14
tt0000162	5.4	469
tt0000163	5.0	13
tt0000164	5.0	294
tt0000165	4.6	128
tt0000166	3.4	18
tt0000167	4.0	139
tt0000168	2.8	16
tt0000169	3.7	45
tt0000170	5.2	255
tt0000172	6.1	899
tt0000173	4.5	44
tt0000174	4.6	129
tt0000175	5.0	218
tt0000176	4.6	13
tt0000177	4.6	239
tt0000178	5.2	186
tt0000179	4.6	40
tt0000181	6.8	59
tt0000182	4.9	545
tt0000183	5.9	35
tt0000184	4.9	322
tt0000186	3.9	21
tt0000187	4.8	54
tt0000190	4.8	144
tt0000192	4.5	184
tt0000194	5.4	83
tt0000196	4.9	27
tt0000197	4.2	19
tt0000198	4.2	19
tt0000205	4.8	30
tt0000206	4.8	12
tt0000208	5.7	556
tt0000209	5.0	28
tt0000210	4.9	31
tt0000211	7.4	4250
tt0000213	4.6	233
tt0000214	4.2	97
tt0000215	4.1	125
tt0000218	5.9	642
tt0000219	6.7	30
tt0000222	4.6	233
tt0000223	5.4	18
tt0000225	5.1	36
tt0000228	4.9	270
tt0000229	4.4	108
tt0000230	6.5	1640
tt0000231	2.9	18
tt0000234	6.3	68
tt0000235	6.3	858
tt0000239	5.5	244
tt0000240	4.3	90
tt0000242	6.4	1178
tt0000245	6.4	49
tt0000246	6.4	1030
tt0000247	5.0	488
tt0000248	6.1	1567
tt0000251	5.3	139
tt0000253	4.2	25
tt0000256	4.8	169
tt0000261	5.5	63
tt0000264	5.7	437
tt0000265	4.3	141
tt0000269	4.8	134
tt0000271	6.5	12
tt0000272	5.6	831
tt0000273	5.5	620
tt0000274	5.6	248
tt0000276	6.9	32
tt0000277	6.2	62
tt0000279	4.2	24
tt0000280	4.5	24
tt0000283	5.9	17
tt0000284	5.3	229
tt0000286	5.7	248
tt0000287	4.9	162
tt0000288	5.2	195
tt0000292	5.1	97
tt0000296	5.8	245
tt0000299	5.6	255
tt0000300	6.9	1271
tt0000301	4.4	413
tt0000302	5.1	215
tt0000304	6.1	1202
tt0000306	5.3	237
tt0000307	5.0	92
tt0000308	5.4	104
tt0000309	6.1	855
tt0000310	7.3	34
tt0000313	5.8	786
tt0000319	5.8	219
tt0000321	4.8	223
tt0000328	6.3	14
tt0000335	6.1	55
tt0000337	5.0	366
tt0000340	4.9	312
tt0000341	4.9	366
tt0000346	4.8	223
tt0000347	4.4	114
tt0000349	5.5	131
tt0000350	5.8	725
tt0000352	5.5	56
tt0000353	5.2	356
tt0000355	6.2	707
tt0000357	5.8	448
tt0000358	6.2	715
tt0000359	7.1	2921
tt0000361	7.6	26
tt0000363	6.3	155
tt0000364	5.6	166
tt0000368	6.8	22
tt0000370	5.6	495
tt0000373	6.4	85
tt0000376	6.1	20
tt0000377	6.2	122
tt0000379	3.7	11
tt0000380	6.9	27
tt0000381	3.4	25
tt0000384	5.8	277
tt0000387	5.1	371
tt0000388	5.1	128
tt0000399	6.1	752
tt0000400	5.9	17
tt0000406	5.8	44
tt0000407	3.6	38
tt0000409	5.1	230
tt0000410	6.7	1018
tt0000412	4.2	25
tt0000413	5.5	449
tt0000414	5.4	753
tt0000416	5.3	169
tt0000417	8.2	50581
tt0000420	6.2	2656
tt0000423	5.5	232
tt0000425	4.9	25
tt0000426	3.8	21
tt0000430	5.9	687
tt0000432	5.7	224
tt0000436	6.2	510
tt0000437	5.2	264
tt0000439	7.3	19534
tt0000440	5.4	220
tt0000442	4.6	88
tt0000446	4.8	25
tt0000447	6.4	2476
tt0000451	6.6	903
tt0000452	4.6	110
tt0000455	6.8	1839
tt0000456	4.0	63
tt0000459	4.4	77
tt0000464	4.8	442
tt0000465	7.3	1598
tt0000469	5.8	1059
tt0000471	5.1	495
tt0000472	6.3	23
tt0000479	5.3	390
tt0000480	5.1	200
tt0000487	6.9	521
tt0000488	6.9	806
tt0000491	3.6	68
tt0000492	4.9	125
tt0000495	6.0	112
tt0000496	5.9	65
tt0000497	5.2	83
tt0000498	6.7	1206
tt0000499	7.5	3640
tt0000501	4.6	51
tt0000502	4.2	14
tt0000505	6.5	27
tt0000507	3.4	59
tt0000509	5.8	46
tt0000511	6.4	45
tt0000512	4.5	70
tt0000515	4.8	95
tt0000516	6.6	1023
tt0000519	5.7	376
tt0000520	6.4	55
tt0000521	5.5	309
tt0000524	5.8	754
tt0000525	5.4	52
tt0000526	4.2	67
tt0000528	6.2	17
tt0000533	6.7	40
tt0000534	6.6	1171
tt0000535	4.8	60
tt0000537	4.4	93
tt0000543	4.8	17
tt0000546	6.7	1877
